,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path
1706,AMZN,Consumer Discretionary,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/amazon-amzn-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AMZN/2021/Q1/
1707,CINF,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/cincinnati-financial-cinf-q1-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CINF/2021/Q1/
1708,SWKS,Information Technology,2021-04-29,2021,Q2,https://www.fool.com/earnings/call-transcripts/2021/04/29/skyworks-solutions-swks-q2-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/SWKS/2021/Q2/
1709,XEL,Utilities,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/xcel-energy-inc-xel-q1-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/XEL/2021/Q1/
1710,MAA,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/mid-america-apartment-communities-inc-maa-q1-2021/,/Users/gyf/Desktop/earning call analysis/MAA/2021/Q1/
1711,NOC,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/northrop-grumman-noc-q1-2021-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/NOC/2021/Q1/
1712,DXCM,Health Care,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/dexcom-inc-dxcm-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DXCM/2021/Q1/
1713,AMT,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/american-tower-amt-q1-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/AMT/2021/Q1/
1714,CHD,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/church-dwight-coinc-chd-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/CHD/2021/Q1/
1715,AOS,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/ao-smith-corp-aos-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/AOS/2021/Q1/
1716,URI,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/united-rentals-inc-uri-q1-2021-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/URI/2021/Q1/
1717,DPZ,Consumer Discretionary,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/dominos-pizza-inc-dpz-q1-2021-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/DPZ/2021/Q1/
1718,KDP,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/keurig-dr-pepper-inc-kdp-q1-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/KDP/2021/Q1/
1719,HSY,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/the-hershey-co-hsy-q1-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/HSY/2021/Q1/
1720,KIM,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/kimco-realty-corp-kim-q1-2021-earnings-call-transc/,/Users/gyf/Desktop/earning call analysis/KIM/2021/Q1/
1721,SPGI,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/sp-global-inc-spgi-q1-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/SPGI/2021/Q1/
1722,DISH,Communication Services,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/dish-network-corp-dish-q1-2021-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/DISH/2021/Q1/
1723,EXR,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/extra-space-storage-inc-exr-q1-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/EXR/2021/Q1/
1724,TAP,Consumer Staples,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/molson-coors-brewing-co-tap-q1-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/TAP/2021/Q1/
1725,RE,Financials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/everest-re-group-ltd-re-q1-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/RE/2021/Q1/
1726,PSA,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/public-storage-psa-q1-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/PSA/2021/Q1/
1727,GNRC,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/generac-holdings-inc-gnrc-q1-2021-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/GNRC/2021/Q1/
1728,TYL,Information Technology,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/tyler-technologies-inc-tyl-q1-2021-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/TYL/2021/Q1/
1729,WELL,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/welltower-well-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WELL/2021/Q1/
1730,CBRE,Real Estate,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/cbre-group-inc-cbre-q1-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/CBRE/2021/Q1/
1731,TXT,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/textron-txt-q1-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/TXT/2021/Q1/
1732,MCD,Consumer Discretionary,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/mcdonalds-corp-mcd-q1-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/MCD/2021/Q1/
1733,WAB,Industrials,2021-04-29,2021,Q1,https://www.fool.com/earnings/call-transcripts/2021/04/29/westinghouse-air-brake-technologies-corp-wab-q1-20/,/Users/gyf/Desktop/earning call analysis/WAB/2021/Q1/
