,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_pe
433,433,RF,Financials,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/regions-financial-rf-q4-2021-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/RF/2021/Q4/,7.386662
434,434,MTB,Financials,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/m-t-bank-mtb-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/MTB/2021/Q4/,11.739567
435,435,AAL,Industrials,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/american-airlines-group-aal-q4-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/AAL/2021/Q4/,0.0
436,436,FITB,Financials,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/fifth-third-bancorp-fitb-q4-2021-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/FITB/2021/Q4/,9.854892
437,437,KEY,Financials,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/keycorp-key-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KEY/2021/Q4/,7.216595
438,438,KMI,Energy,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/kinder-morgan-kmi-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/KMI/2021/Q4/,25.253906
439,439,PLD,Real Estate,2022-01-20,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/20/prologis-pld-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PLD/2021/Q4/,47.6267
440,440,BAC,Financials,2022-01-19,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/19/bank-of-america-bac-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/BAC/2021/Q4/,10.417665
441,441,UNH,Health Care,2022-01-19,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/19/unitedhealth-group-unh-q4-2021-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/UNH/2021/Q4/,30.373037
442,442,CFG,Financials,2022-01-19,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/19/citizens-financial-group-cfg-q4-2021-earnings-call/,/Users/gyf/Desktop/earning call analysis/CFG/2021/Q4/,7.6194777
443,443,JBHT,Industrials,2022-01-19,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/19/jb-hunt-transport-services-jbht-q4-2021-earnings-c/,/Users/gyf/Desktop/earning call analysis/JBHT/2021/Q4/,27.549206
444,444,SBNY,Financials,2022-01-18,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/18/signature-bank-sbny-q4-2021-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/SBNY/2021/Q4/,13.420525
445,445,PNC,Financials,2022-01-18,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/18/pnc-financial-services-pnc-q4-2021-earnings-call-t/,/Users/gyf/Desktop/earning call analysis/PNC/2021/Q4/,15.223729
446,446,JPM,Financials,2022-01-15,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/15/jpmorgan-chase-jpm-q4-2021-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/JPM/2021/Q4/,7.469416
447,447,FRC,Financials,2022-01-15,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/15/first-republic-bank-frc-q4-2021-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/FRC/2021/Q4/,19.110561
448,448,WFC,Financials,2022-01-15,2021,Q4,https://www.fool.com/earnings/call-transcripts/2022/01/15/wells-fargo-wfc-q4-2021-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WFC/2021/Q4/,10.047709
