,Ticker,Sector,Date,Year,Quarter,Forward_pe,Trailing_pe,Trailing_eps,Market_cap,Target,svd_1,svd_2,svd_3,svd_4,f_k,g_f,d_c,spache,neg_vader,neu_vader,pos_vader,sent_TB,Litigious,Positive,WeakModal,Uncertainty,StrongModal,Negative,Constraining,Target_Class
1767,IPG,6,2021-04-29,1,1.0,12.239464,18.003952,1.771,12556847104.0,-0.9051214333355401,0.0295613226605673,-0.0058795827378328,-0.0042101556636638,-0.0169300752288222,0.6807815867438601,0.8780788189793416,-0.2962422006250865,0.280626631662587,0.036,0.69,0.274,0.1169669426546033,0.7323500403066998,1.1259582754180646,-0.6608118586079786,0.6239709896899894,0.5954585766331144,1.26296645414909,0.4383501746290009,0
1768,AAPL,9,2021-04-29,1,2.0,23.556635,25.91622,5.61,2387787382784.0,-1.51332714888236,0.0208326650011787,-0.0099642789284084,0.0085080727133625,-0.0271359011221607,-0.3981412509773875,-0.4626401457179097,-1.2889116995037175,-0.5047082606105749,0.026,0.69,0.284,0.1908617546117546,-0.25963640288459944,-0.16870452136548766,0.3903776377500568,-0.142743173081862,1.1051794828818295,-0.8388680094625706,-0.20153716700035804,0
1769,HES,10,2021-04-29,1,1.0,25.100428,185.17377,0.633,36228767744.0,-2.90591059371385,0.0127540812480871,0.0401934276762635,0.0307385060508352,-0.000193762687546,0.06930375212225326,0.22020026278316637,0.20999916093394735,0.9228622531140875,0.066,0.775,0.159,0.0514497611342271,0.49616279192781904,-0.039238241687132434,-0.8360101080009846,0.6559174131388166,-0.6788436889886734,-0.26117081770965805,0.2606036908430679,0
1770,FB,6,2021-04-28,1,1.0,14.062896,14.304422,13.974,556463226880.0,7.297298344746859,0.0221073923886689,-0.0296384428579848,0.0150409992662432,-0.0318196226604193,-1.525662542121341,-1.4856485908438897,-1.8104162558992478,-1.6777609340075765,0.011,0.709,0.28,0.1522411270494894,-0.16516150353304715,-0.07454722705395658,0.3903776377500568,0.17672106140640945,0.08573767038439928,0.1690292187020853,1.2559840000442928,1
1771,EBAY,3,2021-04-28,1,1.0,9.970133,2.4673157,18.281,28226519040.0,-10.02888323267927,0.0237308777188352,-0.011943235170872,-0.0115251613869526,-0.0114688361847983,0.23725814485001243,0.2212361863456285,0.26633137604627644,0.2776692544304433,0.023,0.696,0.281,0.091405653170359,1.8660488325253275,0.31385161198110906,0.5655758871430627,-0.142743173081862,0.08573767038439928,0.8327664177373465,-0.37928365078629106,-1
1772,ADP,9,2021-04-28,1,3.0,27.8996,32.955696,6.32,87900708864.0,0.9538092518859599,0.0286285380093923,-0.0231690469449006,-0.02174548557855,0.0010233626011082,1.0540527322254523,1.1829829997436219,-0.007366470788702444,1.1537029097009823,0.021,0.686,0.294,0.1300649350649351,-0.47220492642559214,-0.18047418315442904,-0.48561360921497276,0.5920245662411623,-0.1691227827399583,-0.37179368421553494,0.47389947138618754,0
1773,GD,5,2021-04-28,1,1.0,18.286345,19.5121,11.652,63607001088.0,2.9418181845137297,0.0280324168999752,0.0319148763090615,-0.0083192712751081,-0.0146488837294588,-1.7145707639413026,-1.8822080053017025,-1.4445981670367276,-1.4765340551558184,0.053,0.703,0.244,0.21735485975212,-0.8264857989939133,-1.004350508380326,0.3903776377500568,-0.8455644889560592,0.08573767038439928,-1.0969880313096165,-1.01917099241565,0
1774,HOLX,11,2021-04-28,1,2.0,19.981913,10.705964,7.21,19414728704.0,-8.5220967388238,0.0263586003597485,-0.0110423427289079,-0.0176466076377286,0.0084988717647875,0.6614270682754524,0.49765029811041256,-0.4037798732358159,0.49107806346867844,0.035,0.739,0.225,0.072538465283864,1.086630912875021,0.10199769978016417,0.039981138964044954,0.2086674848552366,0.850319029757472,-0.2120050992626017,0.04730791029994823,-1
1775,CB,8,2021-04-28,1,1.0,14.400692,10.587189,19.67,89594126336.0,3.31586158866262,0.0219202096226518,0.0193220413757253,-0.0205211375616459,-0.0057208286825543,-0.07273215728939166,0.2803763695611493,-0.052311968162702976,-0.07215103113337087,0.094,0.668,0.239,0.1061837199409453,-0.5194423761013683,-1.0161201701692673,0.21517938835705086,-1.0691894530978492,-0.6788436889886734,0.132154929866793,-0.9125231021440902,1
1776,IEX,5,2021-04-28,1,1.0,26.456491,32.97308,5.628,14101563392.0,1.39999728732638,0.0267972950274102,0.0023480714258896,0.0023884518227302,0.0155984750922181,-1.0507594717106992,-0.8721266819773924,-0.9525801264882959,-1.149848843979993,0.042,0.724,0.234,0.1422703222703223,-0.11792405385727099,-0.4276370807221981,-0.48561360921497276,-0.5261002544677877,-0.6788436889886734,-0.1382565215920171,0.11840650381432144,0
