,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_eps
61,61,MPC,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/marathon-petroleum-mpc-q1-2022-earnings-call-trans/,/Users/gyf/Desktop/earning call analysis/MPC/2022/Q1/,14.246
62,62,PGR,Financials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/progressive-pgr-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PGR/2022/Q1/,6.88
63,63,SEE,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/sealed-air-see-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SEE/2022/Q1/,3.037
64,64,SPGI,Financials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/sp-global-spgi-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SPGI/2022/Q1/,12.51
65,65,FIS,Information Technology,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/fidelity-national-information-services-fis-q1-2022/,/Users/gyf/Desktop/earning call analysis/FIS/2022/Q1/,0.67
66,66,FANG,Energy,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/diamondback-energy-fang-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/FANG/2022/Q1/,12.3
67,67,VNO,Real Estate,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/vornado-realty-trust-vno-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/VNO/2022/Q1/,0.528
68,68,BIIB,Health Care,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/biogen-biib-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/BIIB/2022/Q1/,10.4
69,69,ITW,Industrials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/illinois-tool-works-itw-q1-2022-earnings-call-tran/,/Users/gyf/Desktop/earning call analysis/ITW/2022/Q1/,8.51
70,70,EL,Consumer Staples,2022-05-03,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/03/the-estee-lauder-companies-el-q3-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/EL/2022/Q3/,8.248
71,71,DD,Materials,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/dupont-de-nemours-inc-dd-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/DD/2022/Q1/,10.821
72,72,CTLT,Health Care,2022-05-03,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/03/catalent-ctlt-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CTLT/2022/Q3/,3.177
73,73,MGM,Consumer Discretionary,2022-05-03,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/03/mgm-resorts-international-mgm-q1-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MGM/2022/Q1/,1.247
74,74,MPWR,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/monolithic-power-systems-mpwr-q1-2022-earnings-cal/,/Users/gyf/Desktop/earning call analysis/MPWR/2022/Q1/,4.46
75,75,ANET,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/arista-networks-anet-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/ANET/2022/Q1/,2.463
76,76,SEDG,Information Technology,2022-05-02,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/02/solaredge-technologies-sedg-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/SEDG/2022/Q1/,2.666
77,77,ABBV,Health Care,2022-04-30,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/30/abbvie-abbv-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/ABBV/2022/Q1/,4.196
78,78,PSX,Energy,2022-04-30,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/30/phillips-66-psx-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/PSX/2022/Q1/,-1.151
79,79,CPT,Real Estate,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/camden-property-trust-cpt-q1-2022-earnings-call-tr/,/Users/gyf/Desktop/earning call analysis/CPT/2022/Q1/,1.19
80,80,CVX,Energy,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/chevron-cvx-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/CVX/2022/Q1/,10.643
81,81,HON,Industrials,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/honeywell-international-hon-q1-2022-earnings-call/,/Users/gyf/Desktop/earning call analysis/HON/2022/Q1/,7.522
82,82,XOM,Energy,2022-04-29,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/04/29/exxonmobil-xom-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/XOM/2022/Q1/,6.022
